bundle_rank,soft_domain,technical_skill,bundle_description,curricular_home,primary_assessment,additional_assessments,cooccurrence_count,percentage_of_postings,interpretation
1,Collaboration And Team Dynamics,project management,Collaboration And Team Dynamics + project management,Software Engineering / Capstone,Team rubrics,Peer evaluation; Group project assessments,27894,18.84,Collaboration And Team Dynamics frequently co-occurs with project management
2,Work Ethic And Professionalism,project management,Work Ethic And Professionalism + project management,Software Engineering / Capstone,Project completion tracking,Code quality metrics; Professional conduct rubrics,24929,16.84,Work Ethic And Professionalism frequently co-occurs with project management
3,Time Management And Organizational Skills,project management,Time Management And Organizational Skills + project management,Software Engineering / Capstone,Project milestone tracking,Sprint planning assessments; Task breakdown evaluations,20263,13.69,Time Management And Organizational Skills frequently co-occurs with project management
4,Problem-Solving And Critical Thinking,project management,Problem-Solving And Critical Thinking + project management,Software Engineering / Capstone,Algorithm design problems,Debugging exercises; Code review rubrics,20159,13.62,Problem-Solving And Critical Thinking frequently co-occurs with project management
5,Communication Skills,project management,Communication Skills + project management,Software Engineering / Capstone,Writing assignments,Presentation rubrics; Code documentation reviews,19961,13.48,Communication Skills frequently co-occurs with project management
6,Collaboration And Team Dynamics,python,Collaboration And Team Dynamics + python,Intro Programming / Data Systems,Team rubrics,Peer evaluation; Group project assessments,17033,11.51,Collaboration And Team Dynamics frequently co-occurs with python
7,Collaboration And Team Dynamics,data analysis,Collaboration And Team Dynamics + data analysis,Data Systems / Data Science Courses,Team rubrics,Peer evaluation; Group project assessments,15448,10.43,Collaboration And Team Dynamics frequently co-occurs with data analysis
8,Problem-Solving And Critical Thinking,data analysis,Problem-Solving And Critical Thinking + data analysis,Data Systems / Data Science Courses,Algorithm design problems,Debugging exercises; Code review rubrics,14820,10.01,Problem-Solving And Critical Thinking frequently co-occurs with data analysis
9,Work Ethic And Professionalism,data analysis,Work Ethic And Professionalism + data analysis,Data Systems / Data Science Courses,Project completion tracking,Code quality metrics; Professional conduct rubrics,14455,9.76,Work Ethic And Professionalism frequently co-occurs with data analysis
10,Collaboration And Team Dynamics,problem solving,Collaboration And Team Dynamics + problem solving,Software Engineering / Capstone,Team rubrics,Peer evaluation; Group project assessments,14344,9.69,Collaboration And Team Dynamics frequently co-occurs with problem solving
11,Work Ethic And Professionalism,python,Work Ethic And Professionalism + python,Intro Programming / Data Systems,Project completion tracking,Code quality metrics; Professional conduct rubrics,14094,9.52,Work Ethic And Professionalism frequently co-occurs with python
12,Work Ethic And Professionalism,problem solving,Work Ethic And Professionalism + problem solving,Software Engineering / Capstone,Project completion tracking,Code quality metrics; Professional conduct rubrics,13527,9.14,Work Ethic And Professionalism frequently co-occurs with problem solving
