soft_domain,technical_skill,cooccurrence_count,percentage_of_postings
Collaboration And Team Dynamics,project management,27894,18.84
Work Ethic And Professionalism,project management,24929,16.84
Time Management And Organizational Skills,project management,20263,13.69
Problem-Solving And Critical Thinking,project management,20159,13.62
Communication Skills,project management,19961,13.48
Collaboration And Team Dynamics,python,17033,11.51
Collaboration And Team Dynamics,data analysis,15448,10.43
Problem-Solving And Critical Thinking,data analysis,14820,10.01
Work Ethic And Professionalism,data analysis,14455,9.76
Collaboration And Team Dynamics,problem solving,14344,9.69
Work Ethic And Professionalism,python,14094,9.52
Work Ethic And Professionalism,problem solving,13527,9.14
Problem-Solving And Critical Thinking,python,12838,8.67
Creativity And Inovation,project management,12823,8.66
Problem-Solving And Critical Thinking,problem solving,12757,8.62
Collaboration And Team Dynamics,sql,12685,8.57
Time Management And Organizational Skills,data analysis,11940,8.07
Adaptability & Continuous Learning,project management,11937,8.06
Communication Skills,data analysis,11334,7.66
Collaboration And Team Dynamics,problemsolving,10979,7.42
Time Management And Organizational Skills,python,10978,7.42
Communication Skills,problem solving,10925,7.38
Time Management And Organizational Skills,problem solving,10877,7.35
Work Ethic And Professionalism,attention to detail,10630,7.18
Work Ethic And Professionalism,problemsolving,10523,7.11
Collaboration And Team Dynamics,attention to detail,10338,6.98
Work Ethic And Professionalism,sql,10322,6.97
Problem-Solving And Critical Thinking,sql,10252,6.92
Problem-Solving And Critical Thinking,analytical skills,10044,6.78
Collaboration And Team Dynamics,analytical skills,10017,6.77
Problem-Solving And Critical Thinking,problemsolving,9984,6.74
Collaboration And Team Dynamics,electrical engineering,9841,6.65
Work Ethic And Professionalism,analytical skills,9465,6.39
Collaboration And Team Dynamics,java,9424,6.37
Adaptability & Continuous Learning,python,9404,6.35
Communication Skills,python,9224,6.23
Work Ethic And Professionalism,electrical engineering,9174,6.2
Time Management And Organizational Skills,sql,9066,6.12
Creativity And Inovation,python,8815,5.95
Collaboration And Team Dynamics,bachelor's degree,8715,5.89
Collaboration And Team Dynamics,autocad,8633,5.83
Communication Skills,problemsolving,8603,5.81
Communication Skills,analytical skills,8540,5.77
Communication Skills,attention to detail,8461,5.72
Collaboration And Team Dynamics,aws,8461,5.72
Collaboration And Team Dynamics,mechanical engineering,8455,5.71
Time Management And Organizational Skills,problemsolving,8413,5.68
Problem-Solving And Critical Thinking,attention to detail,8284,5.6
Time Management And Organizational Skills,attention to detail,8113,5.48
Work Ethic And Professionalism,autocad,8049,5.44
Work Ethic And Professionalism,mechanical engineering,7999,5.4
Collaboration And Team Dynamics,engineering,7926,5.35
Time Management And Organizational Skills,analytical skills,7910,5.34
Collaboration And Team Dynamics,time management,7817,5.28
Communication Skills,sql,7623,5.15
Adaptability & Continuous Learning,sql,7616,5.14
Problem-Solving And Critical Thinking,electrical engineering,7582,5.12
Work Ethic And Professionalism,bachelor's degree,7521,5.08
Collaboration And Team Dynamics,civil engineering,7366,4.98
Work Ethic And Professionalism,time management,7343,4.96
Creativity And Inovation,problem solving,7340,4.96
Creativity And Inovation,data analysis,7296,4.93
Work Ethic And Professionalism,engineering,7291,4.92
Work Ethic And Professionalism,java,6940,4.69
Time Management And Organizational Skills,time management,6860,4.63
Adaptability & Continuous Learning,problem solving,6834,4.62
Problem-Solving And Critical Thinking,mechanical engineering,6746,4.56
Problem-Solving And Critical Thinking,bachelor's degree,6735,4.55
Communication Skills,electrical engineering,6661,4.5
Adaptability & Continuous Learning,java,6630,4.48
Time Management And Organizational Skills,bachelor's degree,6538,4.42
Work Ethic And Professionalism,civil engineering,6519,4.4
Collaboration And Team Dynamics,computer science,6483,4.38
Adaptability & Continuous Learning,data analysis,6464,4.37
Communication Skills,autocad,6376,4.31
Collaboration And Team Dynamics,software development,6376,4.31
Communication Skills,time management,6341,4.28
Collaboration And Team Dynamics,microsoft office suite,6299,4.25
Work Ethic And Professionalism,aws,6261,4.23
Time Management And Organizational Skills,java,6230,4.21
Collaboration And Team Dynamics,javascript,6149,4.15
Collaboration And Team Dynamics,microsoft office,6121,4.13
Problem-Solving And Critical Thinking,java,6040,4.08
Problem-Solving And Critical Thinking,engineering,6017,4.06
Time Management And Organizational Skills,electrical engineering,5976,4.04
Work Ethic And Professionalism,microsoft office,5939,4.01
Work Ethic And Professionalism,microsoft office suite,5905,3.99
Time Management And Organizational Skills,autocad,5883,3.97
Creativity And Inovation,sql,5856,3.96
Time Management And Organizational Skills,engineering,5821,3.93
Problem-Solving And Critical Thinking,time management,5814,3.93
Problem-Solving And Critical Thinking,autocad,5741,3.88
Communication Skills,mechanical engineering,5735,3.87
Work Ethic And Professionalism,computer science,5681,3.84
Creativity And Inovation,problemsolving,5671,3.83
Collaboration And Team Dynamics,software engineering,5666,3.83
Time Management And Organizational Skills,mechanical engineering,5625,3.8
Adaptability & Continuous Learning,aws,5621,3.8
Work Ethic And Professionalism,software development,5585,3.77
Time Management And Organizational Skills,aws,5543,3.74
Problem-Solving And Critical Thinking,computer science,5464,3.69
Communication Skills,bachelor's degree,5459,3.69
Communication Skills,civil engineering,5407,3.65
Collaboration And Team Dynamics,excel,5374,3.63
Collaboration And Team Dynamics,documentation,5358,3.62
Collaboration And Team Dynamics,machine learning,5292,3.57
Adaptability & Continuous Learning,problemsolving,5287,3.57
Time Management And Organizational Skills,organizational skills,5279,3.57
Communication Skills,engineering,5274,3.56
Collaboration And Team Dynamics,linux,5243,3.54
Work Ethic And Professionalism,customer service,5193,3.51
Collaboration And Team Dynamics,kubernetes,5192,3.51
Collaboration And Team Dynamics,customer service,5159,3.48
Problem-Solving And Critical Thinking,aws,5157,3.48
Creativity And Inovation,attention to detail,5156,3.48
Communication Skills,microsoft office suite,5139,3.47
Collaboration And Team Dynamics,organizational skills,5126,3.46
Time Management And Organizational Skills,civil engineering,5121,3.46
Communication Skills,microsoft office,5067,3.42
Creativity And Inovation,analytical skills,5066,3.42
Work Ethic And Professionalism,excel,5044,3.41
Creativity And Inovation,electrical engineering,5025,3.39
Work Ethic And Professionalism,documentation,5024,3.39
Work Ethic And Professionalism,organizational skills,4961,3.35
Problem-Solving And Critical Thinking,microsoft office suite,4959,3.35
Collaboration And Team Dynamics,problemsolving skills,4931,3.33
Collaboration And Team Dynamics,technical writing,4920,3.32
Collaboration And Team Dynamics,docker,4906,3.31
Communication Skills,organizational skills,4876,3.29
Work Ethic And Professionalism,javascript,4860,3.28
Collaboration And Team Dynamics,design,4839,3.27
Problem-Solving And Critical Thinking,software development,4837,3.27
Time Management And Organizational Skills,microsoft office suite,4828,3.26
Problem-Solving And Critical Thinking,problemsolving skills,4809,3.25
Adaptability & Continuous Learning,attention to detail,4796,3.24
Work Ethic And Professionalism,problemsolving skills,4778,3.23
Adaptability & Continuous Learning,analytical skills,4773,3.22
Problem-Solving And Critical Thinking,excel,4766,3.22
Problem-Solving And Critical Thinking,microsoft office,4763,3.22
Collaboration And Team Dynamics,azure,4723,3.19
Time Management And Organizational Skills,microsoft office,4664,3.15
Problem-Solving And Critical Thinking,documentation,4657,3.15
Work Ethic And Professionalism,technical writing,4648,3.14
