domain,term,action,frequency,rationale
Communication Skills,publicspeaking,added,0,"Variant form of ""public speaking"" - hyphen/space variation"
Communication Skills,public-speaking,added,0,"Variant form of ""public speaking"" - hyphen/space variation"
Communication Skills,stakeholdermanagement,added,0,"Variant form of ""stakeholder management"" - hyphen/space variation"
Communication Skills,stakeholder-management,added,0,"Variant form of ""stakeholder management"" - hyphen/space variation"
Communication Skills,verbalcommunication,added,0,"Variant form of ""verbal communication"" - hyphen/space variation"
Communication Skills,verbal-communication,added,0,"Variant form of ""verbal communication"" - hyphen/space variation"
Communication Skills,writtencommunication,added,0,"Variant form of ""written communication"" - hyphen/space variation"
Communication Skills,written-communication,added,0,"Variant form of ""written communication"" - hyphen/space variation"
Communication Skills,clientcommunication,added,0,"Variant form of ""client communication"" - hyphen/space variation"
Communication Skills,client-communication,added,0,"Variant form of ""client communication"" - hyphen/space variation"
Communication Skills,communication-skills,added,0,"Variant form of ""communication skills"" - hyphen/space variation"
Communication Skills,communicationskills,added,0,"Variant form of ""communication skills"" - hyphen/space variation"
Communication Skills,interpersonal-communication,added,0,"Variant form of ""interpersonal communication"" - hyphen/space variation"
Communication Skills,interpersonalcommunication,added,0,"Variant form of ""interpersonal communication"" - hyphen/space variation"
Collaboration And Team Dynamics,cross functional,added,0,"Variant form of ""cross-functional"" - hyphen/space variation"
Collaboration And Team Dynamics,people-management,added,0,"Variant form of ""people management"" - hyphen/space variation"
Collaboration And Team Dynamics,peoplemanagement,added,0,"Variant form of ""people management"" - hyphen/space variation"
Collaboration And Team Dynamics,team-player,added,0,"Variant form of ""team player"" - hyphen/space variation"
Collaboration And Team Dynamics,teamplayer,added,0,"Variant form of ""team player"" - hyphen/space variation"
Collaboration And Team Dynamics,collaborative-work,added,0,"Variant form of ""collaborative work"" - hyphen/space variation"
Collaboration And Team Dynamics,collaborativework,added,0,"Variant form of ""collaborative work"" - hyphen/space variation"
Collaboration And Team Dynamics,teambuilding,added,0,"Variant form of ""team building"" - hyphen/space variation"
Collaboration And Team Dynamics,team-building,added,0,"Variant form of ""team building"" - hyphen/space variation"
Collaboration And Team Dynamics,working-with-others,added,0,"Variant form of ""working with others"" - hyphen/space variation"
Collaboration And Team Dynamics,workingwithothers,added,0,"Variant form of ""working with others"" - hyphen/space variation"
Problem-Solving And Critical Thinking,analytical-thinking,added,0,"Variant form of ""analytical thinking"" - hyphen/space variation"
Problem-Solving And Critical Thinking,analyticalthinking,added,0,"Variant form of ""analytical thinking"" - hyphen/space variation"
Problem-Solving And Critical Thinking,solve-problems,added,0,"Variant form of ""solve problems"" - hyphen/space variation"
